2024-12-13 21:03:24,341 Starting experiment run_id=final_run
2024-12-13 21:03:24,683 Running seed 0
2024-12-13 21:47:08,477 [Pretraining] Seed 1 Epoch 5/50: Train Loss 0.0082, Val Loss 0.0250
2024-12-13 21:48:13,589 [Pretraining] Seed 1 Epoch 6/50: Train Loss 0.0081, Val Loss 0.0337
2024-12-13 21:49:21,784 [Pretraining] Seed 1 Epoch 7/50: Train Loss 0.0071, Val Loss 0.0317
2024-12-13 21:50:24,367 [Pretraining] Seed 1 Epoch 8/50: Train Loss 0.0062, Val Loss 0.0208
2024-12-13 21:51:29,830 [Pretraining] Seed 1 Epoch 9/50: Train Loss 0.0059, Val Loss 0.0311
2024-12-13 21:52:34,120 [Pretraining] Seed 1 Epoch 10/50: Train Loss 0.0076, Val Loss 0.0200
2024-12-13 21:53:39,408 [Pretraining] Seed 1 Epoch 11/50: Train Loss 0.0035, Val Loss 0.0251
2024-12-13 21:54:44,650 [Pretraining] Seed 1 Epoch 12/50: Train Loss 0.0033, Val Loss 0.0234
2024-12-13 21:55:47,701 [Pretraining] Seed 1 Epoch 13/50: Train Loss 0.0025, Val Loss 0.0202
2024-12-13 21:56:45,576 [Pretraining] Seed 1 Epoch 14/50: Train Loss 0.0031, Val Loss 0.0220
2024-12-13 21:56:45,577 Early stopping pretraining seed 1
2024-12-13 21:57:07,193 [Supervised] Seed 1 Epoch 1/50: Train Loss 1.0278, Val Loss 0.5394
2024-12-13 21:57:26,426 [Supervised] Seed 1 Epoch 2/50: Train Loss 0.9182, Val Loss 0.5330
2024-12-13 21:57:46,191 [Supervised] Seed 1 Epoch 3/50: Train Loss 0.9146, Val Loss 0.5311
2024-12-13 21:58:07,392 [Supervised] Seed 1 Epoch 4/50: Train Loss 0.9114, Val Loss 0.5329
2024-12-13 21:58:27,382 [Supervised] Seed 1 Epoch 5/50: Train Loss 0.9119, Val Loss 0.5359
